#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Bolin says : " Excuse me , coming through Pardon me . 
1-1	0-5	Bolin	*	PER	*->1-1	*[1]
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-21	Excuse	_	_	_	_
1-6	22-24	me	_	_	*->1-2	*[1]
1-7	25-26	,	_	_	_	_
1-8	27-33	coming	_	_	_	_
1-9	34-41	through	_	_	_	_
1-10	42-48	Pardon	_	_	_	_
1-11	49-51	me	_	_	*->1-3	*[1]
1-12	52-53	.	_	_	_	_

#Text=Carry on . 
2-1	54-59	Carry	_	_	_	_
2-2	60-62	on	_	_	_	_
2-3	63-64	.	_	_	_	_

#Text=" 
3-1	65-66	"	_	_	_	_
