#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Korra says : " Watch out , Naga ! 
1-1	0-5	Korra	*	PER	_	_
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-20	Watch	_	_	_	_
1-6	21-24	out	_	_	_	_
1-7	25-26	,	_	_	_	_
1-8	27-31	Naga	_	_	_	_
1-9	32-33	!	_	_	_	_

#Text=Look out ! 
2-1	34-38	Look	_	_	_	_
2-2	39-42	out	_	_	_	_
2-3	43-44	!	_	_	_	_

#Text=" 
3-1	45-46	"	_	_	_	_
