#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Tarrlok says : " My father and I searched for days , but we never found a sign of Noatak . 
1-1	0-7	Tarrlok	*	PER	*->1-1	*[1]
1-2	8-12	says	_	_	_	_
1-3	13-14	:	_	_	_	_
1-4	15-16	"	_	_	_	_
1-5	17-19	My	_	_	*->1-2	*[1]
1-6	20-26	father	_	_	*->2-1	*[2]
1-7	27-30	and	_	_	_	_
1-8	31-32	I	_	_	*->1-3	*[1]
1-9	33-41	searched	_	_	_	_
1-10	42-45	for	_	_	_	_
1-11	46-50	days	_	_	_	_
1-12	51-52	,	_	_	_	_
1-13	53-56	but	_	_	_	_
1-14	57-59	we	_	_	*->3-1	*[3]
1-15	60-65	never	_	_	_	_
1-16	66-71	found	_	_	_	_
1-17	72-73	a	_	_	_	_
1-18	74-78	sign	_	_	_	_
1-19	79-81	of	_	_	_	_
1-20	82-88	Noatak	_	_	_	_
1-21	89-90	.	_	_	_	_

#Text=We thought he perished in that storm . 
2-1	91-93	We	_	_	*->3-2	*[3]
2-2	94-101	thought	_	_	_	_
2-3	102-104	he	_	_	*->2-2	*[2]
2-4	105-113	perished	_	_	_	_
2-5	114-116	in	_	_	_	_
2-6	117-121	that	_	_	_	_
2-7	122-127	storm	_	_	_	_
2-8	128-129	.	_	_	_	_

#Text=My mother was never the same after the loss of my brother . 
3-1	130-132	My	_	_	*->1-4	*[1]
3-2	133-139	mother	_	_	_	_
3-3	140-143	was	_	_	_	_
3-4	144-149	never	_	_	_	_
3-5	150-153	the	_	_	_	_
3-6	154-158	same	_	_	_	_
3-7	159-164	after	_	_	_	_
3-8	165-168	the	_	_	_	_
3-9	169-173	loss	_	_	_	_
3-10	174-176	of	_	_	_	_
3-11	177-179	my	_	_	*->1-5	*[1]
3-12	180-187	brother	_	_	_	_
3-13	188-189	.	_	_	_	_

#Text=My father stopped training me . 
4-1	190-192	My	_	_	*->1-6	*[1]
4-2	193-199	father	_	_	*->2-3	*[2]
4-3	200-207	stopped	_	_	_	_
4-4	208-216	training	_	_	_	_
4-5	217-219	me	_	_	*->1-7	*[1]
4-6	220-221	.	_	_	_	_

#Text=With Noatak gone , his hopes for revenge withered . 
5-1	222-226	With	_	_	_	_
5-2	227-233	Noatak	_	_	*->4-1	*[4]
5-3	234-238	gone	_	_	*->4-1	*[4]
5-4	239-240	,	_	_	_	_
5-5	241-244	his	_	_	*->4-2	*[4]
5-6	245-250	hopes	_	_	_	_
5-7	251-254	for	_	_	_	_
5-8	255-262	revenge	_	_	_	_
5-9	263-271	withered	_	_	_	_
5-10	272-273	.	_	_	_	_

#Text=And he passed away , a few years later . 
6-1	274-277	And	_	_	_	_
6-2	278-280	he	_	_	*->4-3	*[4]
6-3	281-287	passed	_	_	_	_
6-4	288-292	away	_	_	_	_
6-5	293-294	,	_	_	_	_
6-6	295-296	a	_	_	_	_
6-7	297-300	few	_	_	_	_
6-8	301-306	years	_	_	_	_
6-9	307-312	later	_	_	_	_
6-10	313-314	.	_	_	_	_

#Text=" 
7-1	315-316	"	_	_	_	_
