Shiro Shinobi: 5704, m
Korra: 17555, f
Captain: 434, na
Asami: 3791, f
Arik: 143, m
Mako: 9311, m
Ming-Hua: 176, f
Ghazan: 191, m
Bolin: 10856, m
Zaheer: 2138, m
Hou-Ting: 667, f
Gun: 405, m
Kong: 64, m
Prisoner: 75, na
Other prisoners: 5, na
Lin: 3288, f
Tonraq: 1101, m
Dai Li agent: 103, na
P'Li: 178, f
Radio operator: 56, na
Zuko: 9588, m
Radio: 83, na
Elderly woman: 21, f
Shady Shin: 281, m
Mr. Feng: 39, m
Toza: 179, m
Lightning Bolt Zolt: 52, m
Old salt: 24, na
Greenhorn: 7, na
Engineer: 81, na
Bumi: 2867, m
Ikki: 1337, m
Tenzin: 8542, m
Jinora: 1961, f
Meelo: 1062, m
Tenzin's children: 3, na
Katara: 15742, f
Kya: 1013, f
Senna: 315, f
Unalaq: 2118, m
Varrick: 5095, m
Male guest #1: 5, m
Male guest #2: 2, m
Male guest #3: 2, m
Desna: 246, f
Eska: 542, f
Game guy: 4, m
Pema: 631, f
White Lotus sentry: 87, na
Townsman: 64, m
Kuon: 106, m
Kuon's wife: 15, f
Kuon's daughter: 15, f
Ryu's mother: 146, f
Ryu: 152, m
White Lotus sentry #1: 8, na
White Lotus sentry #2: 2, na
Crowd member: 6, na
Kai: 995, m
Earth Kingdom sheriff: 95, na
Wu: 2646, m
Yin: 330, f
Asami Sato: 9, f
Tu: 214, m
Amon: 1179, m
Baraz: 212, m
Vaatu: 340, m
All refugees: 1, na
Radio host: 24, na
Tarrlok: 2103, m
Lieutenant: 119, na
Officer: 67, na
Ring announcer: 136, na
Referee: 93, na
Tahno: 193, m
Guard: 233, na
Baatar: 90, m
Suyin: 2593, f
Baatar Jr.: 1068, m
Kuvira: 2832, f
Zhu Li: 558, f
Hiroshi: 260, m
Opal: 1136, f
Raiko: 1299, m
Varrick and Bolin: 2, m
Guard #1: 45, na
Daw: 196, m
Amon, Unalaq, and Vaatu: 6, m
Red Lotus sentry #1: 57, na
Red Lotus sentry #2: 7, na
Lin Beifong: 124, f
Toph: 7015, f
Wing: 51, m
Dragon eel spirit: 50, na
Female Sage: 12, f
Shaman: 109, na
Korra's image: 3, f
Aang's image: 36, m
Roku's image: 13, m
Kyoshi's image: 16, f
Kuruk's image: 9, m
Wan's image: 23, m
Little Chou: 42, m
Wan: 1259, m
Big Chou: 24, m
Jaya: 303, m
Yao: 51, m
Huntsman: 216, m
Hunter #2: 13, na
Lion turtle: 121, na
Chou the Elder: 36, m
Palace guard: 3, na
Frog spirit: 24, na
Aye-aye spirit: 281, na
Friendly spirit #1: 26, na
Friendly spirit #2: 16, na
Hunter #3: 3, na
Hunter #4: 8, na
Citizen #1: 5, na
Citizen #2: 4, na
Random spirit #1: 5, na
Random spirit #2: 7, na
Raava: 674, f
Evacuee: 77, na
Train conductor: 64, na
Soldier: 203, na
Third platoon: 8, na
Fourth platoon: 7, na
Earth Empire sergeant: 34, na
Shopkeeper: 91, na
Bandit #1: 6, na
Governor: 165, na
Driver: 58, na
Female bandit #1: 22, f
Male bandit #1: 12, m
Farmer: 20, na
Acolyte: 37, na
Children: 1, na
Announcer: 51, na
Wei: 51, m
Huan: 74, m
Northern soldier: 32, na
Southern civilian: 32, na
Little girl: 17, f
Rebel: 20, na
Rebel leader: 31, na
Korra and Bolin: 5, na
Korra, Ikki, and Jinora: 1, na
Random stranger: 4, na
Councilwoman: 35, f
Husband: 8, m
Council page: 165, na
Hiroshi Sato: 685, m
Male telegraph operator #1: 17, m
Saikhan: 268, m
Female telegraph operator: 16, f
Male telegraph operator #2: 9, m
Air Acolyte woman: 9, f
Messenger: 45, na
Iroh: 6490, m
Tavern owner: 45, na
Innkeeper: 57, na
Macao: 20, m
Lily: 60, f
Aiwei: 517, m
P-Li: 13, f
Nuktuk: 160, m
Evil Unalaq: 69, m
Juji: 26, na
Roh-Tan: 2, na
Crowd: 48, na
Voice narrator: 115, na
Ron-Tah: 1, na
Ginger: 74, f
Lu: 135, f
Gang: 111, na
Triple Threat doorman: 15, m
Viper: 160, m
Two Toed Ping: 226, m
Assistant director: 20, na
Pyrotechnics technician: 18, na
Karu: 26, m
Man #1: 25, m
Man #2: 4, m
Woman: 50, f
Fishmonger: 123, na
Vendor: 9, na
Light spirit: 42, na
Skeptical spirit: 30, na
Unknown woman: 61, f
Main Katara Korra Tonraq Senna: 17, na
Police dispatcher: 81, na
Male #1: 10, m
Female #1: 14, f
Child #1: 5, na
Old lady: 12, f
Tuyen: 35, f
Fish monger: 10, na
Outpost soldier #1: 171, na
Outpost soldier #2: 141, na
Meelo and Ikki: 2, m
Jinora, Ikki, and Meelo: 1, na
Chef: 54, na
Helmsman: 16, m
Mecha suit captain: 11, na
Aang: 18660, m
Yakone: 262, m
Equalist traffic director: 7, na
Female Equalist: 7, f
Equalist: 28, na
Prosecution attorney: 57, na
Defense attorney: 85, na
Bailiff: 7, na
Sokka: 18900, m
Guo: 123, m
Boy: 9, m
Looter: 10, na
Royal Earthbender Guard: 15, na
Chow: 211, m
Female relative: 1, f
Ming Hua: 8, f
Soldiers: 5, na
Sentry: 20, na
Mecha operator: 10, na
Soldier #1: 3, na
Soldier #2: 4, na
Soldier #3: 17, na
Soldier #4: 13, na
Jinora, Ikki and Meelo: 5, na
Director: 5, na
Bodyguard: 11, na
Korra and Jinora: 1, f
Male reporter #1: 31, m
Reporters: 5, na
Male reporter #2: 12, m
Female reporter #1: 11, f
Male reporter #3: 5, m
Male reporter #4: 6, m
Female reporter #2: 8, f
Tenzin and Korra: 1, na
Fruithog Spirit: 33, na
Male reporter #5: 7, m
Male reporter #6: 7, m
Male reporter #7: 7, m
Female reporter #3: 10, f
General: 16, na
Reporter: 52, na
Northern protesters: 14, na
Spectator: 3, na
Fire Nation councilwoman: 19, f
Server: 23, na
Reporter #1: 24, na
Reporter #2: 32, na
Reporter #3: 14, na
Reporter #4: 11, na
Reporter #5: 10, na
Female reporter: 16, f
Shung: 79, m
Young Unalaq: 4, m
Zhu Guan: 5, na
Second guard: 10, na
Third guard: 13, na
Hong Li: 30, m
Ryu's father: 8, m
Tourist #1: 34, na
Opal and Mako: 1, na
Izumi: 55, f
White Lotus guard: 3, na
Fangirl: 6, f
Hasook: 11, m
Platypus Bears: 1, na
Butakha: 113, m
Skoochy: 79, m
Protester: 187, na
Policeman: 6, m
Doorman: 29, m
Cam: 36, m
Spectator #1: 4, na
Spectator #2: 2, na
Girl #1: 6, f
Girl #2: 5, f
Little Boy: 4, m
Northern guardsman: 3, na
Law clerk: 10, na
Hotah: 206, m
Excited man: 6, m
Korra,: 6, f
Nomad: 52, na
